Country name	2011	2012	2013	2014			
Afghanistan	28,809,167	29,726,803	30,682,500	31,627,506			
Albania	2,904,780	2,900,489	2,897,366	2,894,475			
Algeria	36,717,132	37,439,427	38,186,135	38,934,334			
American Samoa	55,316	55,227	55,302	55,434			
Andorra	82,326	79,316	75,902	72,786			
Angola	21,942,296	22,685,632	23,448,202	24,227,524			
Antigua and Barbuda	88,152	89,069	89,985	90,900			
Argentina	41,655,616	42,095,224	42,538,304	42,980,026			
Armenia	2,967,984	2,978,339	2,992,192	3,006,154			
Aruba	101,936	102,393	102,921	103,441			
Australia	22,340,024	22,728,254	23,125,868	23,490,736			
Austria	8,391,643	8,429,991	8,479,375	8,534,492			
Azerbaijan	9,173,082	9,295,784	9,416,801	9,537,823			
Bahamas, The	366,711	372,388	377,841	383,054			
Bahrain	1,306,014	1,333,577	1,349,427	1,361,930			
Bangladesh	153,405,612	155,257,387	157,157,394	159,077,513			
Barbados	280,602	281,580	282,503	283,380			
Belarus	9,473,000	9,464,000	9,466,000	9,470,000			
Belgium	11,047,744	11,128,246	11,182,817	11,225,207			
Belize	329,193	336,707	344,193	351,706			
Benin	9,779,391	10,049,792	10,322,232	10,598,482			
Bermuda	64,564	64,798	65,001	65,181			
Bhutan	732,246	743,711	754,637	765,008			
Bolivia	10,078,238	10,238,762	10,399,931	10,561,887			
Bosnia and Herzegovina	3,832,310	3,828,419	3,823,533	3,817,554			
Botswana	2,089,706	2,132,822	2,176,510	2,219,937			
Brazil	200,517,584	202,401,584	204,259,377	206,077,898			
Brunei Darussalam	399,443	405,512	411,499	417,394			
Bulgaria	7,348,328	7,305,888	7,265,115	7,223,938			
Burkina Faso	16,106,851	16,590,813	17,084,554	17,589,198			
Burundi	9,790,151	10,124,572	10,465,959	10,816,860			
Cabo Verde	495,159	500,870	507,258	513,906			
Cambodia	14,593,099	14,832,255	15,078,564	15,328,136			
Cameroon	21,119,065	21,659,488	22,211,166	22,773,014			
Canada	34,342,780	34,754,312	35,158,304	35,540,419			
Cayman Islands	56,580	57,522	58,369	59,172			
Central African Republic	4,530,903	4,619,500	4,710,678	4,804,316			
Chad	12,298,512	12,715,465	13,145,788	13,587,053			
Chile	17,201,305	17,388,437	17,575,833	17,762,647			
China	1,344,130,000	1,350,695,000	1,357,380,000	1,364,270,000			
Colombia	46,406,446	46,881,018	47,342,363	47,791,393			
Comoros	715,972	733,661	751,697	769,991			
Congo, Dem. Rep.	68,087,376	70,291,160	72,552,861	74,877,030			
Congo, Rep.	4,177,435	4,286,188	4,394,334	4,504,962			
Costa Rica	4,600,487	4,654,148	4,706,433	4,757,606			
Cote d'Ivoire	20,604,172	21,102,641	21,622,490	22,157,107			
Croatia	4,280,622	4,267,558	4,255,689	4,238,389			
Cuba	11,323,570	11,342,631	11,362,505	11,379,111			
Curacao	150,831	152,088	153,821	155,872			
Cyprus	1,116,644	1,129,303	1,141,652	1,153,658			
Czech Republic	10,496,088	10,510,785	10,514,272	10,510,566			
Denmark	5,570,572	5,591,572	5,614,932	5,639,565			
Djibouti	841,802	853,069	864,554	876,174			
Dominica	71,402	71,685	72,005	72,341			
Dominican Republic	10,027,140	10,155,036	10,281,408	10,405,943			
Ecuador	15,177,280	15,419,493	15,661,312	15,902,916			
Egypt, Arab Rep.	83,787,634	85,660,902	87,613,909	89,579,670			
El Salvador	6,055,208	6,072,233	6,089,644	6,107,706			
Equatorial Guinea	750,918	773,729	797,082	820,885			
Eritrea	4,789,568	4,892,233	4,998,824	5,110,444			
Estonia	1,327,439	1,322,696	1,317,997	1,313,645			
Ethiopia	89,858,696	92,191,211	94,558,374	96,958,732			
Faeroe Islands	48,492	48,393	48,292	48,221			
Fiji	867,327	874,158	880,487	886,450			
Finland	5,388,272	5,413,971	5,438,972	5,463,596			
France	65,342,776	65,639,975	65,925,498	66,206,930			
French Polynesia	270,862	273,775	276,766	279,781			
Gabon	1,577,298	1,613,489	1,650,351	1,687,673			
Gambia, The	1,749,099	1,807,108	1,866,878	1,928,201			
Georgia	4,483,350	4,490,700	4,487,200	4,504,100			
Germany	81,797,673	80,425,823	80,645,605	80,889,505			
Ghana	24,928,503	25,544,565	26,164,432	26,786,598			
Greece	11,123,213	11,092,771	11,027,549	10,957,740			
Greenland	56,890	56,810	56,483	56,295			
Grenada	105,070	105,476	105,902	106,349			
Guam	160,858	162,807	165,121	167,543			
Guatemala	15,049,280	15,368,759	15,690,793	16,015,494			
Guinea	11,316,351	11,628,767	11,948,726	12,275,527			
Guinea-Bissau	1,673,509	1,714,620	1,757,138	1,800,513			
Guyana	755,883	758,410	761,033	763,893			
Haiti	10,144,890	10,288,828	10,431,249	10,572,029			
Honduras	7,621,414	7,736,131	7,849,059	7,961,680			
Hong Kong SAR, China	7,071,600	7,154,600	7,187,500	7,241,700			
Hungary	9,971,727	9,920,362	9,893,082	9,861,673			
Iceland	319,014	320,716	323,764	327,589			
India	1,247,446,011	1,263,589,639	1,279,498,874	1,295,291,543			
Indonesia	244,808,254	248,037,853	251,268,276	254,454,778			
Iran, Islamic Rep.	75,184,322	76,156,975	77,152,445	78,143,644			
Iraq	31,810,191	32,780,975	33,781,385	34,812,326			
Ireland	4,576,794	4,586,897	4,598,294	4,612,719			
Isle of Man	85,069	85,779	86,462	87,127			
Israel	7,765,800	7,910,500	8,059,500	8,215,300			
Italy	59,379,449	59,539,717	60,233,948	61,336,387			
Jamaica	2,699,838	2,707,805	2,714,734	2,721,252			
Japan	127,817,277	127,561,489	127,338,621	127,131,800			
Jordan	6,181,000	6,318,000	6,460,000	6,607,000			
Kazakhstan	16,556,600	16,791,425	17,035,275	17,289,111			
Kenya	41,419,954	42,542,978	43,692,881	44,863,583			
Kiribati	104,662	106,620	108,544	110,470			
Korea, Dem. Rep.	24,631,359	24,763,353	24,895,705	25,026,772			
Korea, Rep.	49,779,440	50,004,441	50,219,669	50,423,955			
Kuwait	3,239,181	3,419,581	3,593,689	3,753,121			
Kyrgyz Republic	5,514,600	5,607,200	5,719,600	5,834,200			
Lao PDR	6,366,909	6,473,050	6,579,985	6,689,300			
Latvia	2,059,709	2,034,319	2,012,647	1,990,351			
Lebanon	4,388,637	4,440,728	4,493,438	4,546,774			
Lesotho	2,032,950	2,057,331	2,083,061	2,109,197			
Liberia	4,079,574	4,190,155	4,293,692	4,396,554			
Libya	6,288,652	6,283,403	6,265,987	6,258,984			
Liechtenstein	36,537	36,791	37,040	37,286			
Lithuania	3,028,115	2,987,773	2,957,689	2,929,323			
Luxembourg	518,347	530,946	543,360	556,074			
Macao SAR, China	546,682	557,763	568,056	577,914			
Macedonia, FYR	2,065,888	2,069,270	2,072,543	2,075,625			
Madagascar	21,678,867	22,293,720	22,924,557	23,571,713			
